elapsed_s,produced,acked,send_rejects,delivery_errors,consumed,duplicates,reordered,open_gaps,parse_errors,win_p50_us,win_p99_us,win_max_us,rss_mib,producer_retries,producer_lib_errors,rebalances,consumer_restarts,wedges
1701,1701050,1701050,0,0,1708153,7142,3756,39,0,12602,18111,19438,13.2,0,0,5,1,0
1711,1711050,1711050,0,0,1718153,7142,3756,39,0,12035,16972,25509,13.2,0,0,5,1,0
1721,1721050,1721050,0,0,1728153,7142,3756,39,0,12262,17607,18729,13.2,0,0,5,1,0
1731,1731100,1731050,0,0,1738153,7142,3756,39,0,12066,19331,19670,13.2,0,0,5,1,0
1741,1741100,1741050,0,0,1748153,7142,3756,39,0,12595,17975,22006,13.0,0,0,5,1,0
1751,1751100,1751100,0,0,1758203,7142,3756,39,0,13062,19683,23984,13.0,0,0,5,1,0
1761,1761100,1761100,0,0,1768203,7142,3756,39,0,12432,17354,18420,13.1,0,0,5,1,0
1771,1771100,1771100,0,0,1778203,7142,3756,39,0,12635,18206,26558,13.1,0,0,5,1,0
1781,1781100,1781100,0,0,1788203,7142,3756,39,0,12819,19385,23728,13.1,0,0,5,1,0
1791,1791100,1791100,0,0,1798203,7142,3756,39,0,12652,17897,18110,13.1,0,0,5,1,0
1801,1801100,1801100,0,0,1807853,7142,3756,39,0,11661,19246,20774,13.1,0,0,5,2,0
1811,1811100,1811100,0,0,1818203,7142,3756,39,0,12180,18483,20462,13.8,0,0,3,2,0
1821,1821100,1821100,0,0,1828203,7142,3756,39,0,12527,19179,24810,13.8,0,0,3,2,0
1831,1831150,1831100,0,0,1838203,7142,3756,39,0,12743,18372,22968,13.2,0,0,3,2,0
1841,1841150,1841100,0,0,1848203,7142,3756,39,0,12988,18721,27205,13.2,0,0,3,2,0
1851,1851150,1851150,0,0,1858253,7142,3756,39,0,12733,17026,18988,13.2,0,0,3,2,0
1861,1861150,1861150,0,0,1868253,7142,3756,39,0,12343,19188,25522,13.2,0,0,3,2,0
1871,1871150,1871150,0,0,1878253,7142,3756,39,0,12684,18057,22709,13.2,0,0,3,2,0
1881,1881150,1881150,0,0,1888253,7142,3756,39,0,12685,21096,24643,13.2,0,0,3,2,0
1891,1891150,1891150,0,0,1898253,7142,3756,39,0,12864,16976,19924,13.1,0,0,3,2,0
1901,1901150,1901150,0,0,1907361,7342,3830,39,0,12473,551375,2469740,13.4,0,0,3,2,0
1911,1911200,1911200,0,0,1912378,7342,3830,39,0,11616,20728,28282,13.5,0,0,3,2,0
1921,1921200,1921200,0,0,1917387,7342,3830,39,0,13173,18754,22758,13.4,0,0,3,2,0
1931,1931200,1931200,0,0,1922386,7342,3830,39,0,12466,17954,23251,13.4,0,0,3,2,0
1941,1941200,1941200,0,0,1927370,7342,3830,39,0,12659,18191,20692,13.4,0,0,3,2,0
1951,1951200,1951200,0,0,1958514,7385,3830,39,0,12447,23465,29352,17.6,0,0,5,2,0
1961,1961200,1961200,0,0,1968504,7385,3830,39,0,12486,18239,22838,17.6,0,0,5,2,0
1971,1971200,1971200,0,0,1978530,7385,3830,39,0,11953,18779,32717,17.6,0,0,5,2,0
1981,1981250,1981200,0,0,1988512,7385,3830,39,0,12518,19434,24584,16.9,0,0,5,2,0
1991,1991250,1991250,0,0,1998545,7385,3830,39,0,12089,18461,23587,16.8,0,0,5,2,0
2001,2001250,2001250,0,0,2008571,7385,3830,39,0,12073,17574,27189,16.8,0,0,5,2,0
2011,2011250,2011250,0,0,2018587,7385,3830,39,0,12791,18308,26880,16.8,0,0,5,2,0
2021,2021250,2021250,0,0,2028554,7385,3830,39,0,12910,17960,24929,13.2,0,0,5,2,0
2031,2031250,2031250,0,0,2038587,7385,3830,39,0,13261,19092,32913,13.2,0,0,5,2,0
2041,2041300,2041250,0,0,2048570,7385,3830,39,0,12860,17810,20357,12.6,0,0,5,2,0
2051,2051300,2051250,0,0,2058588,7385,3830,39,0,12978,17244,22923,12.4,0,0,5,2,0
2061,2061300,2061300,0,0,2068621,7385,3830,39,0,12404,21030,24284,12.4,0,0,5,2,0
2071,2071300,2071300,0,0,2078629,7385,3830,39,0,11849,17736,24326,11.3,0,0,5,2,0
2081,2081300,2081300,0,0,2088604,7385,3830,39,0,12895,18837,28660,11.3,0,0,5,2,0
2091,2091300,2091300,0,0,2098613,7385,3830,39,0,11932,17656,18711,11.3,0,0,5,2,0
2101,2101300,2101300,0,0,2108597,7385,3830,39,0,12759,20790,25570,11.3,0,0,5,2,0
2111,2111350,2111300,0,0,2118595,7385,3830,39,0,13058,16897,22020,11.3,0,0,5,2,0
2121,2121350,2121300,0,0,2128638,7385,3830,39,0,12257,16666,22408,11.3,0,0,5,2,0
2131,2131350,2131350,0,0,2138671,7385,3830,39,0,12688,17213,24993,11.3,0,0,5,2,0
2141,2141350,2141350,0,0,2148688,7385,3830,39,0,12817,17349,18211,11.3,0,0,5,2,0
2151,2151350,2151150,0,0,2158554,7385,3830,39,0,12348,17297,17827,11.8,0,0,5,2,0
2161,2161350,2161350,0,0,2169437,8126,5065,39,0,13189,2567848,2929938,13.1,0,0,7,2,0
2171,2171350,2171350,0,0,2179437,8126,5065,39,0,13237,25048,26101,13.1,0,0,7,2,0
2181,2181350,2181350,0,0,2189437,8126,5065,39,0,13681,18978,19644,13.1,0,0,7,2,0
2191,2191350,2191350,0,0,2199437,8126,5065,39,0,12996,18414,24047,13.1,0,0,7,2,0
2201,2201400,2201350,0,0,2209437,8126,5065,39,0,13233,18637,20124,13.1,0,0,7,2,0
2211,2211400,2211350,0,0,2219437,8126,5065,39,0,13392,19630,21282,13.2,0,0,7,2,0
2221,2221400,2221350,0,0,2229437,8126,5065,39,0,12498,20572,28689,13.2,0,0,7,2,0
2231,2231400,2231400,0,0,2239487,8126,5065,39,0,13605,20395,23042,13.1,0,0,7,2,0
2241,2241400,2241400,0,0,2249487,8126,5065,39,0,13685,20148,26307,13.1,0,0,7,2,0
2251,2251400,2251400,0,0,2259487,8126,5065,39,0,13697,20385,29203,12.1,0,0,7,2,0
2261,2261400,2261400,0,0,2269487,8126,5065,39,0,13708,22574,29973,12.1,0,0,7,2,0
2271,2271442,2271400,0,0,2279487,8126,5065,39,0,13922,18451,23239,12.1,0,0,7,2,0
2281,2281450,2281400,0,0,2289487,8126,5065,39,0,13477,19185,20161,12.0,0,0,7,2,0
2291,2291450,2291400,0,0,2299487,8126,5065,39,0,13147,20974,28886,12.0,0,0,7,2,0
2301,2301450,2301450,0,0,2309537,8126,5065,39,0,13430,17482,22461,12.0,0,0,7,2,0
2311,2311450,2311450,0,0,2319537,8126,5065,39,0,12873,17571,23271,12.0,0,0,7,2,0
2321,2321450,2321450,0,0,2329537,8126,5065,39,0,13009,19336,23268,11.9,0,0,7,2,0
2331,2331450,2331450,0,0,2339537,8126,5065,39,0,12929,20092,31740,11.9,0,0,7,2,0
2341,2341450,2341450,0,0,2349537,8126,5065,39,0,13509,17815,20675,11.9,0,0,7,2,0
2351,2351500,2351450,0,0,2359537,8126,5065,39,0,13302,19993,24035,11.9,0,0,7,2,0
2361,2361500,2361450,0,0,2369537,8126,5065,39,0,13178,18229,24021,11.9,0,0,7,2,0
2371,2371500,2371500,0,0,2379587,8126,5065,39,0,12755,18544,22682,11.9,0,0,7,2,0
2381,2381500,2381500,0,0,2389587,8126,5065,39,0,12627,21714,26850,11.9,0,0,7,2,0
